name,landmark,lat,long,user_created,user_saved
,state_local_park,30.77427,-85.53973,,
GATOR CREEK GOLF CLUB,golf_course,27.26637,-82.39163,,
,state_local_park,27.53488,-82.73506,,
,state_local_park,25.85667,-81.38762,,
BALL PARK,state_local_park,26.74159,-80.9306,,
BREVARD COUNTY GAME REFUGE,state_local_park,28.74821,-80.92004,,
FALLING WATERS STATE REC AREA,state_local_park,30.72831,-85.52955,,
GULFSTREAM PAR 3,golf_course,26.50183,-80.0558,,
CASTILLO DE SAN MARCOS NAT MON,national_park,29.89804,-81.31267,,
CAPRI ISLES GOLF CLUB,golf_course,27.10604,-82.41035,,
ST ANDREWS STATE PARK,state_local_park,30.13226,-85.73775,,
VANCE VOGEL PARK,state_local_park,27.79468,-82.35276,,
,state_local_park,30.76118,-86.56556,,
ANASTASIA STATE PARK,state_local_park,29.87019,-81.2745,,
WASHINGTON OAKS STATE PARK,state_local_park,29.6404,-81.20467,,
RED CEDAR PK,state_local_park,26.91412,-82.24278,,
BARCLAY GARDENS STATE PARK,state_local_park,30.51937,-84.25211,,
MULLET LAKE PARK,state_local_park,28.78893,-81.13747,,
DE SOTO NATIONAL MEMORIAL,national_park,27.52333,-82.64331,,
EVERGLADES NATIONAL PARK,national_park,25.83787,-81.38185,,
COUNTY PARK,state_local_park,29.55732,-81.17349,,
FLEISCHMANN PARK,state_local_park,26.16732,-81.79423,,
CYPRESS WOOD golf_course,golf_course,28.01015,-81.6465,,
MACFARLANE PARK,state_local_park,27.95859,-82.49544,,
LA BREA PARK,state_local_park,27.04192,-82.24592,,
THOMPSON PARK,state_local_park,25.92383,-80.44805,,
STEPHEN FOSTER ST MEM FOLK CEN,state_local_park,30.33545,-82.76801,,
GOLF LINKS golf_course,golf_course,27.73135,-81.56602,,
,golf_course,30.59389,-87.0987,,
DR JULIAN G BRUCE STATE PARK,state_local_park,29.73124,-84.72892,,
MYAKKA RIVER STATE PARK,state_local_park,27.23452,-82.29955,,
JONATHAN DICKINSON,state_local_park,27.01696,-80.12813,,
BOCA DEL MAR golf_course,golf_course,26.34627,-80.14083,,
BIG CYPRESS NATIONAL PRESERVE,national_park,25.7223,-81.00377,,
CITY PARK,state_local_park,29.38549,-82.44024,,
FOX FIRE GOLF CLUB,golf_course,27.27468,-82.42927,,
,state_local_park,27.24337,-80.83255,,
CANAVERAL NATIONAL SEASHORE,national_park,28.69035,-80.6943,,
,state_local_park,29.00457,-82.75841,,
ROGERS PARK,state_local_park,28.02201,-82.42352,,
LAXAHATCHEE NAT WLD RFG,national_park,26.45657,-80.32435,,
EVERGLADES NATIONAL PARK,national_park,25.28694,-80.94621,,
ST ANDREWS ST PARK,state_local_park,30.11419,-85.71744,,
PINE LOG STATE FOREST,state_local_park,30.40643,-85.86435,,
S TOMOKA WILDLIFE MNGMNT AREA,state_local_park,29.04564,-81.10075,,
PALMA CEIA GOLF ASSOCIATION,golf_course,27.92966,-82.49795,,
,state_local_park,29.8338,-82.59669,,
PEACE RIVER PARK,state_local_park,27.9031,-81.80291,,
SHERBROOK GOLF CLUB,golf_course,26.58198,-80.18801,,
CITY BALL PARK AND REC,state_local_park,30.5839,-85.13627,,
VETERANS WAYSIDE PARK,nationa_forest_fed_land,25.66693,-80.3229,,
MYAKKA RIVER STATE PARK,state_local_park,27.23298,-82.21415,,
,state_local_park,27.46883,-81.5655,,
SUNILAND PARK,state_local_park,25.6503,-80.32987,,
EVERGLADES NATIONAL PARK,national_park,25.43057,-80.72486,,
SARASOTA BAY golf_course,golf_course,27.4188,-82.5619,,
POPE DUVAL PARK,state_local_park,30.30663,-81.89803,,
,state_local_park,28.9094,-82.62839,,
PARK,state_local_park,29.61065,-82.81718,,
FOX PEN HUNT CLUB,golf_course,30.78524,-86.637,,
LEE CIVIC CENTER,state_local_park,26.72032,-81.7663,,
DEER LAKE STATE PARK,state_local_park,30.30167,-86.07298,,
BIG CYPRESS NATIONAL PRESERVE,national_park,25.8754,-80.85649,,
CROCODILE LAKE NATL WILDLIFE R,nationa_forest_fed_land,25.24955,-80.336,,
PARK,state_local_park,30.44043,-84.98462,,
CYPRESS CREEK COUNTRY CLUB,golf_course,26.53617,-80.11519,,
GRENELEFE golf_course,golf_course,28.07012,-81.55858,,
PINE TREE golf_course,golf_course,26.51891,-80.11288,,
HOLIDAY PARK,state_local_park,26.13311,-80.13263,,
TWIN RIVERS RV PARK,campground,27.10717,-80.17281,,
,state_local_park,30.19084,-82.64458,,
CALOOSA GOLF AND COUNTRY CLUB,golf_course,27.72502,-82.34618,,
ENGLEWOOD golf_course,golf_course,26.99661,-82.36631,,
LIMETREE PK,state_local_park,26.9141,-82.23726,,
BLACKWATER RIVER STATE PARK,state_local_park,30.70618,-86.87801,,
TORREYA STATE PARK,state_local_park,30.56873,-84.9477,,
CHINSEGUT NAT WLD RFG,nationa_forest_fed_land,28.6157,-82.36629,,
PHIL FOSTER PARK,state_local_park,26.78339,-80.04331,,
GUMBO LIMBO NATURE CRNTER,state_local_park,26.36549,-80.07054,,
JACK GAITHER golf_course,golf_course,30.40189,-84.29627,,
FORT COOPER STATE PARK,state_local_park,28.80931,-82.30565,,
,state_local_park,28.03707,-80.5502,,
OKEEHEELEE COUNTY PARK,state_local_park,26.65637,-80.16201,,
,golf_course,28.28952,-81.43794,,
HONEYMOON ISLAND ISLAND STATE,state_local_park,28.07057,-82.82913,,
BEAR CREEK PARK,state_local_park,27.77287,-82.71424,,
CISKY PARK,state_local_park,28.79527,-81.84862,,
FORTY MILE BEND INDIAN RES,nationa_forest_fed_land,25.43208,-80.66885,,
LAKE GRIFFIN PARK,state_local_park,28.86552,-81.89352,,
SUWANNEE RIVER STATE PARK,state_local_park,30.4094,-83.15948,,
PASCO COUNTY FAIR GROUNDS,state_local_park,28.3499,-82.20809,,
BEAR CREEK STATE PARK,state_local_park,30.4739,-84.61804,,
CARY STATE FOREST,state_local_park,30.40118,-81.8867,,
KINGS LAKE SQUARE SHOP CTR,shopping_center,26.13775,-81.74808,,
BALLAST POINT PARK,state_local_park,27.88907,-82.48155,,
BISCAYNE BAY AQUATIC RESERVE,state_local_park,25.61287,-80.23333,,
ROBLES PARK,state_local_park,27.97432,-82.45512,,
CHASEVILLE UNIV COUNTRY CLUB,golf_course,30.37637,-81.60701,,
WHISPERING PINES STATE PARK,state_local_park,26.641,-80.16413,,
WHITE PINE PK,state_local_park,26.9141,-82.24625,,
DADE BATTLEFIELD MEM ST PARK,state_local_park,28.65209,-82.12916,,
BOYD HILL NATURE PARK,state_local_park,27.73357,-82.65706,,
RONDA LANE,state_local_park,29.24637,-81.46564,,
DELTONA GOLF AND COUNTRY CLUB,golf_course,28.92222,-81.23717,,
,golf_course,28.37746,-81.52878,,
LAFAYETTE PARK,state_local_park,29.71848,-84.98831,,
CITY BEACH,state_local_park,26.78238,-80.03312,,
JONATHAN DICKINSON STATE PARK,state_local_park,27.03228,-80.14712,,
HILLSBOROUGH RIVER,state_local_park,28.14628,-82.22912,,
ST ANDREWS CLUB,golf_course,26.50613,-80.05518,,
SOUTH BEACH PARK,state_local_park,26.11225,-80.10507,,
COPELAND PARK,state_local_park,28.04953,-82.44047,,
,state_local_park,29.93664,-85.40169,,
